Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,3,9,1,3,8.771,16.975,8.711136407,1.0540637
1,4,2,1,5,6.488,13.119,1.848379269,1.113490203
1,7,8,4,8,7.622,24.503,6.986630625,4.043550659
1,1,5,3,6,1.061,18.671,4.237044105,3.213588044
1,5,6,2,2,4.686,11.906,5.994675809,2.239998992
1,7,5,1,8,14.82,19.976,5.17920341,1.119171396
1,2,6,3,8,2.336,22.892,4.808049365,3.220932716
1,4,9,1,7,13.35,20.805,8.802079989,1.081366261
1,6,9,4,7,6.425,23.012,8.087659813,4.104758259
1,6,9,1,7,20.02,20.805,8.801540007,1.081636332
1,3,3,3,4,2.527,13.45,2.549909856,3.093272079
1,3,8,4,4,2.513,16.581,7.546373659,4.005083328
1,7,9,1,6,25.31,19.877,8.879825453,1.055393987
1,1,10,2,6,2.078,21.147,9.867708705,2.016078542
1,3,6,2,8,4.549,21.987,5.501453186,2.218045197
1,1,10,2,6,2.078,21.147,9.867708705,2.016078542
1,1,9,1,3,2.924,16.975,8.710975418,1.053943537
1,2,6,1,6,5.481,17.352,5.620697378,1.057647475
1,1,6,3,7,1.165,21.009,5.080240404,3.166394861
1,6,9,5,6,5.327,21.403,8.451031925,4.79663676
1,5,8,1,8,13.86,21.31,7.757250205,1.098707629
1,3,7,5,3,1.564,13.525,6.627393843,5.174928551
1,2,9,5,4,1.398,16.671,7.850044483,4.823320879
1,2,7,2,7,3.323,20.281,5.924824215,2.044501635
1,4,2,2,3,4.141,10.361,1.896731815,1.965797923
1,2,9,4,6,2.148,21.175,8.556541187,3.907890312
1,4,8,2,2,4.271,13.674,8.162211417,2.063098699
1,6,3,1,7,10.84,17.264,3.14030019,1.083700296
1,1,3,2,3,1.044,11.324,2.877259718,2.188353349
1,4,3,1,8,7.028,19.274,3.538996312,1.130770567
1,1,3,1,2,1.69,9.809,2.961703917,1.127157143
1,4,4,2,8,5.212,21.051,3.227825012,2.240661776
1,8,8,3,3,7.114,14.978,8.182620273,3.248075902
1,1,9,3,4,1.173,17.502,8.891091106,2.996138565
1,2,7,4,5,1.658,18.183,6.364021456,4.39004435
1,5,6,4,3,3.156,13.222,5.720520341,4.200177597
1,1,10,3,7,1.425,23.068,9.509962908,3.09712555
1,2,10,1,8,6.736,22.868,10.30716626,1.113968928
1,3,7,2,4,4.97,16.2,6.746755311,1.981200655
1,6,8,4,7,6.204,22.556,7.014157872,4.106608259
1,3,10,5,4,2.143,17.113,8.76654823,4.829310778
1,1,10,1,4,3.56,18.65,9.507929036,1.035262614
1,1,9,7,7,0.6785,23.75,6.850168129,6.814846328
1,3,2,2,4,3.265,12.265,1.75844823,2.027356032
1,7,8,8,3,2.469,13.513,7.546779394,7.643762215
1,3,7,3,3,1.017,13.113,6.530168836,7.768929596
1,7,4,1,3,16.48,12.284,3.897310936,1.056633662
1,3,6,3,4,3.062,15.476,5.664452492,3.068248343
1,1,7,1,3,2.71,15.491,7.068508298,1.086530677
1,6,10,2,2,6.81,14.327,8.928614261,1.966784075
1,5,10,4,8,5.832,24.546,7.612806458,3.788418189
1,5,8,3,7,6.607,22.022,7.388777804,3.074776147
1,1,6,1,6,2.74,17.352,5.62033131,1.057840476
1,4,8,1,6,13.27,19.284,8.064779937,1.092073335
1,8,2,2,6,8.619,16.132,1.190567003,2.186503523
1,7,5,2,4,9.615,14.759,4.84407735,2.158423937
1,3,8,1,3,8.432,15.941,7.54092878,1.063729891
1,8,9,5,8,7.8,25.448,7.974665992,4.862390037
1,1,7,1,2,2.193,13.635,6.362099801,1.003642935
1,4,3,2,7,4.77,18.619,2.111675657,2.223707375
1,1,10,1,7,3.683,21.777,10.21046418,1.079496603
1,5,2,2,2,4.277,8.363,1.951247518,1.976573061
1,8,8,3,5,9.248,18.552,7.543786626,3.227683522
1,4,5,4,3,2.42,12.7,4.829011375,4.237881684
1,7,7,5,3,3.649,13.525,6.627575978,5.175401276
1,7,9,2,7,13.58,21.942,8.831941771,2.079768547
1,2,9,5,2,0.7366,11.983,9.908141903,5.714741519
1,3,4,3,6,3.166,18.101,3.394534171,3.030153683
1,2,1,9,2,0.4058,7.642,0.796819207,7.611641754
1,6,5,1,8,12.7,19.976,5.178094611,1.119423178
1,5,9,3,4,5.866,17.502,8.890898144,2.995627801
1,2,6,1,3,5.148,14.427,5.953353355,1.096364697
1,7,10,6,2,2.214,11.933,10.7929424,6.643473865
1,7,10,1,5,25.49,19.733,9.790102285,1.097876457
1,4,7,3,5,4.416,18.002,6.566680792,3.254229918
1,8,1,1,5,10.32,12.493,0.793366076,1.151285262
1,3,4,1,2,5.567,10.949,3.892042626,1.090230782
1,3,10,3,7,4.275,23.068,9.509962908,3.09712555
1,5,6,3,3,4.443,13.506,5.774250597,3.032875337
1,4,7,1,2,8.771,13.635,6.362288247,1.003757363
1,4,8,1,7,11.97,20.12,7.736152389,1.112662702
1,3,3,1,3,6.565,11.16,2.938261911,1.026215128
1,6,10,1,5,21.85,19.733,9.790107077,1.097804677
1,7,5,2,7,10.07,19.736,4.528007845,2.200099799
1,3,7,5,5,2.106,18.158,5.94818696,5.175162985
1,7,10,2,8,14.02,23.999,9.951124327,2.102723507
1,2,6,4,7,1.886,21.166,3.905929632,3.975840644
1,1,2,1,2,1.639,8.532,1.983994033,1.04982202
1,6,9,1,8,18.41,22.246,9.229533838,1.134295597
1,2,8,4,5,1.735,18.652,7.347184042,4.328940898
1,6,7,1,7,16.68,19.746,7.115173544,1.140058662
1,1,1,1,5,1.29,12.493,0.793366076,1.151285262
1,7,4,2,3,8.433,12.196,3.868200403,2.050808985
1,4,10,6,8,3.406,26.149,8.403652705,5.842573686
1,8,1,9,4,2.904,13.814,0.662583966,7.474559228
1,6,7,2,7,9.969,20.281,5.924824215,2.044501635
1,5,2,1,2,8.196,8.532,1.983976942,1.04969393
1,1,6,3,4,1.021,15.476,5.664583841,3.067246629
1,7,2,1,3,12.71,9.938,1.940030479,1.050740231
1,2,7,4,7,1.997,22.073,5.898715818,4.087042645
1,4,8,3,2,2.605,12.414,7.947925033,3.275745552
1,6,10,5,4,4.285,17.113,8.766862921,4.830437805
1,2,7,2,2,2.004,12.933,7.272875011,2.159962873
1,2,2,2,6,2.155,16.132,1.191193619,2.186249868
1,5,6,2,5,7.642,17.066,5.737823849,2.180682588
1,2,7,2,3,2.624,14.798,7.122221055,2.18552589
1,3,10,8,7,1.912,24.312,7.912176694,7.511672521
1,2,4,3,5,1.976,16.153,3.496654225,3.083897357
1,5,7,2,4,8.284,16.2,6.746747338,1.981041215
1,4,10,4,3,2.756,15.634,10.27648095,4.295025703
1,2,8,4,4,1.675,16.581,7.546489545,4.00588036
1,8,1,1,3,10.62,8.661,0.862705457,1.086995764
1,3,2,2,6,3.232,16.132,1.190358099,2.186588087
1,4,1,1,3,5.308,8.661,0.862314578,1.087405333
1,6,2,2,8,6.455,20.091,0.516502892,2.259068972
1,8,9,2,5,14.24,19.064,8.698591682,2.163871294
1,2,5,4,5,1.595,17.072,4.245492206,4.181471436
1,7,10,6,3,3.269,14.774,9.910576716,6.133975087
1,4,3,2,8,4.765,20.581,1.952876549,2.253454408
1,2,3,7,7,1.311,21.71,1.745560691,6.0283412
1,8,4,3,6,8.444,18.101,3.395308661,3.029675212
1,6,8,5,7,5.02,22.937,6.434737293,5.224781474
1,4,9,4,6,4.296,21.175,8.556541187,3.907890312
1,1,8,4,2,0.4705,12.038,8.665827749,4.481501691
1,8,9,2,7,15.52,21.942,8.831941771,2.079768547
1,6,5,1,8,12.7,19.976,5.178094611,1.119423178
1,1,10,5,7,0.9029,23.732,8.658355591,5.115173825
1,5,5,3,6,5.306,18.671,4.237909776,3.212982392
1,3,7,3,7,3.73,21.512,6.245472761,3.119943877
